password,hashed_password,strength,weak_property
q!!EB8r6ZA@As,e613e38109609dc585c0318c55df40fca9222a104d00c09642623b7e2bf45e0a,Very Strong,Good balance of characters
%sAo82ios,3c41289e1cf87f22a7e6cfcb3cb4331d747d44909f80dea3bc6d4633595c4d5c,Strong,Good balance of characters
8RyskSAmD*EAJz,6b78c2ab2c27ddc7e76453bb663c71432f158b8c8808150167a019e66943bae1,Very Strong,Good balance of characters
P??!ipEzh&mu,1cff8106f3195f4cc55913a9a74e8f5f7f4f83462cb78e3ce5876a9d8825561f,Medium,Include at least one number
tzi0pb2sZVuMt,a0ee6a68118182025a70c44186a93d3d215671ade65f7228d6e2f2f526d7d48a,Medium,"Include at least one special character (@, #, $, etc.)"
qVktiu&sgrYnHg7,bf5f38a80cec6e2be2f20d0ca5f431202f4e1efb17284a140df5cec94d346b0e,Very Strong,Good balance of characters
1&3Yg5P3h%QGIiSQ,79ba35f0af871ddec46c9467e36d7d37d30f30b069e8748ac81077fe7f86b23e,Very Strong,Good balance of characters
rvYRa2W,e6138f1c7a2348c053e93c166c977efc4becd01379ca0c896637aa7161899d47,Weak,Too short (<8 characters)
pWvvrZ$$PW2B,979a7b82549a927f62fdaa30a69483259bf6508c42f1e9d92cfd2ceb281f73eb,Very Strong,Good balance of characters
wdcqlyGP0,1604217ca064fc8605f675cbcfb00b3ec97d4ae7ef461037b4c32e62ea4b4b99,Medium,"Include at least one special character (@, #, $, etc.)"
dkquI808p,73881a87a1fb823832c4da31b5718cc695efc17817b44ae25dd0a452a27a3d2c,Medium,"Include at least one special character (@, #, $, etc.)"
6GBl2VQUCSCE,8a52e4213111e3859d9e458fc39ea7c4a2538c34a507ca489a551235e1dd6f78,Medium,"Include at least one special character (@, #, $, etc.)"
an24U&k,f25b90bcd572de17f60f06777dd3e53153524191ea8773d7cb2bcd3cc83f1c88,Weak,Too short (<8 characters)
qHQ@J,1623dcac14db6739aaa026ee3503f2e275083d3bf7d63d2021d3321a0f9f3fda,Weak,Too short (<8 characters)
eynTfUBS9HS0,6d58f6b71046b746430c2c5ef8b46d9aed172b997e09c2e2228b30653f102b12,Medium,"Include at least one special character (@, #, $, etc.)"
&Utag5M,d9098f80cba11a38c96c5dc9b4841a36292cec5b57eb4f52a26c33b46bce67f4,Weak,Too short (<8 characters)
*$IKbACQ8YPvR&Bt,239c40a7a590956318e679a1ab30a636af3e751f1f287b9e86314521b48d1618,Very Strong,Good balance of characters
pomxR5AsmCDMM8,d5d2e2182b4b10fac9c329ad157cefd1154b5b35e1064a6b4026c545c1a6d893,Medium,"Include at least one special character (@, #, $, etc.)"
zWzYCO5PfsedZ,bd542d24d97076e54a17a28c0a2328f54ed544fa0145f6de49208c58c8a6fa53,Medium,"Include at least one special character (@, #, $, etc.)"
SAQHJO!hd1Vs6oA,8eafa56410a0aa68f649465387bdf72033f9ff1b8a93865aec1333ea599cad13,Very Strong,Good balance of characters
Ksme0w4,cad646cdb06a610eb1df226b2ba5b34a683bf5673973faf13e924a529e4e801c,Weak,Too short (<8 characters)
I$iv#ZHYjx%hw,fd80ff2bab39fd7cfaec7e944f23aa68d4902469673ccd214237c1fc45c3b521,Medium,Include at least one number
p2mLn2LY#k0JGT7,392200c248201b3b2be8c2749eec83db30fd844de7be1ee8fcf995ef9dc1ac56,Very Strong,Good balance of characters
sTq*ZV,e8d76bfc72bd34de30c4060bbb847a23e017d2ff9fcd5e126dbf23965c474e20,Weak,Too short (<8 characters)
p1B!P,1fab24dfa6616fc0a929b6c4b6b9f96c958dedf1916c07c885423b36f4460b2d,Weak,Too short (<8 characters)
W3Ojw$mNt,463728b4b02927084f0bbe6675e1ad7d8c5cc26d0c2158b42c4bd4808c88097c,Strong,Good balance of characters
CWuVrGUCE6EFFBQ,6063835518ca1e624e76d5f2be9e45e9faa401a20136c3b22b149673d9692144,Medium,"Include at least one special character (@, #, $, etc.)"
05Wzm,36ebb9a816f1766c65a45569532ef48c3fcb8051c56517916c9699d03f881a7f,Weak,Too short (<8 characters)
CRNjVvJXnBig5v,029930a7e8aa7e0ffbe30fda3d1318eb9512e49e16cf7dffbf4413f3b50457d0,Medium,"Include at least one special character (@, #, $, etc.)"
jeVrOl7Sl,94383bec7f97679404b764ca31d325879219c8b0fbbf6bf417cdab9c21f4689c,Medium,"Include at least one special character (@, #, $, etc.)"
4sAeOLOouVv%XY,efc93a4fdb238b582d96842e35e417f60f7333c79ccbbc042a178c628e8c16a9,Very Strong,Good balance of characters
dKkNPs#64s,29159975e8243ef0fde8170364336995e586573c2033b378a93ce120e31be05a,Strong,Good balance of characters
cef%W3mb,c944ba1e2669262edc080053574ca15bf743b1db5870f1ff28a95a811271f95a,Strong,Good balance of characters
Agmm5X9D0hb,3d44873d569add62aafddbcef93cbd356f10ee23ab8b0fdb58514ea1b9941143,Medium,"Include at least one special character (@, #, $, etc.)"
jBX1s0JV3btfwab,cc1111c6a91074f7f2976b281f5acbd9cfa959669b66246c0ad53581cd0d7670,Medium,"Include at least one special character (@, #, $, etc.)"
h?DRXy1!,dc171b7e315bf699e781e37f7535537ebd72f3ef09ec59139d3590a31b33d9d1,Strong,Good balance of characters
F8B$Aq@qwn&&,575dbef1998f44057fda6dcb92556e5fa29830e3aa6f0368bef34b2082c4b10e,Very Strong,Good balance of characters
QJG33?pq,6bac4fe71278f2f13940cb388f210f17afbd6863457b5c165d152ceb8f5ff1d9,Strong,Good balance of characters
S69zAf,349471ce1933becc0b0b7d75b65b1dda49127adfe6e99e3b735f45d8555f62dc,Weak,Too short (<8 characters)
uxfIcKM$F$@5,70fa75a02f1cd0427006b9b233e09cf258776b0c1162298866bc76c875b237a2,Very Strong,Good balance of characters
fUF?YKYshg,6dfeaf2228781d98666a222f83adba2809d693ae1f63fec0377d7049f83894df,Medium,Include at least one number
hkU7nq*P&wvJGf,17b78a86167678de44c6640f5f9f8d6528593e4c551b1cb34dfe38b11a52fdda,Very Strong,Good balance of characters
8Yqxr,c49d644fc2b08a89071e01c8137bd01dfdbcb6cce084f1478261cae6ba7c901f,Weak,Too short (<8 characters)
$2wK8P,dade9a8ef8a14b50a368876845978b3892edc13ba1a09360017ef413992ef679,Weak,Too short (<8 characters)
31nAly1UppS,20e7ea533b2782fda57f7fcc43f8545fbaafddd6189116c7cdacb6af8ec7888a,Medium,"Include at least one special character (@, #, $, etc.)"
@rRb7SL,a0b75c7bdc40bda666928c9e9a5530c15ec56fce61f12b6730b43af3194180d7,Weak,Too short (<8 characters)
e!auLFeHS,10a9be86aad2df301b89e48adfb16ef07a225c1ef9f3a3a14023b4929ea39641,Medium,Include at least one number
vBAsvJUm2Y51zC,f5853c04fa7dc6d8618cc030d3fef07af4bddb3800a7f8253237d17326943f2e,Medium,"Include at least one special character (@, #, $, etc.)"
cBAjYiO!9HOC,f137672b3be15c79d8e1023231275c77de654c1bc191f08a802b240a1deabdd8,Very Strong,Good balance of characters
&XDn#i99vP?jX,506fcf999f8d71ddc4e1419efcbf2242139491f599787fcf7de54e4f6ecd2e22,Very Strong,Good balance of characters
jH*z9omDtHn1j,2184a9d3beda320a7c5039800509355a5fe278e71164a24e6658029af08465bc,Very Strong,Good balance of characters
1$vAPB@BCR,98a0af710edd958b8e2d7bce53f6fcdabf0340e02b0b4dea5e54e2d993cf28ec,Strong,Good balance of characters
xh&7vFN,9782099ef93970b4d97ab7d98ed78223c8bd193ff390c82b19b6bbb160872c69,Weak,Too short (<8 characters)
Pm0?Bi68v&yDqQ7,61a29e2705e509302a259f5412b4bdd58f42171e9cec599eccaf246da1db3e78,Very Strong,Good balance of characters
IPn4ApS@tl5,efb7d680e28c234c672a6c509a99a373c67175c716d047c9017ee14878f70722,Strong,Good balance of characters
2HB%Ijro,0bd18323b5a5d1c7b74272e314fbf267fd79b712abff518e90f703e827bca09a,Strong,Good balance of characters
M@3eum6Aztk6kiQS,c806b0b78680cdbab4275045e45a08824bc6e829b3580228f2e03ae59a0789d6,Very Strong,Good balance of characters
aG%Ga,4ced4ebde485baccef7347154006e4dce9dc4f01441ced47ef5279e979de002e,Weak,Too short (<8 characters)
HMlzKkde*!,5e9cd0cb84cef6c0b1601ad7acbc8356b36d7d3a6a96da3dcbe8316917c9d17e,Medium,Include at least one number
KgCR4hyO!,daff0387bbce6ca712b01a202adbab18b34bee18073b1153b3721df50ed318e0,Strong,Good balance of characters
4LqXj,b5a91967a3df951ac9bf031473e8147af486133c604b82f94ee19daa07becba0,Weak,Too short (<8 characters)
KKvho,ce82b875343eff294d65595e68a9c344a4ea9bedd651e5cb7171d45dcd159d2a,Weak,Too short (<8 characters)
Nl2yDqm,403893570c22e26e05cd27a4f95940315c0d97b2f7b77d39504461a77e994026,Weak,Too short (<8 characters)
W%sgLxHX1oB,cd89ff1442be5fbc99fd1d37ee461db924fd6fa28cc33323b7708a8115a1b5c6,Strong,Good balance of characters
Q#TnX?gPyAzN,6f42c6330d887acb06967327fcd71513cee6579efa56df8a641783fb85b91a86,Medium,Include at least one number
SeShG$ug@n,7397da37e6014e934ff94f45567ec25e83fa3c4c76c28414e978eef35e6a4bba,Medium,Include at least one number
WAiY4W,0fe4c5271521daf6dc615c25fd1424b4449409cc8f067506fb286d78f306f922,Weak,Too short (<8 characters)
#uxR5KnZ2E3uJLdw,26f9683cf671208521f4c155a1da55038ef3f522a304bd9361a2dd6ea32ede06,Very Strong,Good balance of characters
*17jP#582cZX9B,0b71934a3cd711f60e531f9b9c4f6f7a14926e3aad682d6e1e871efb447e525f,Very Strong,Good balance of characters
4*R0e,e16be600650df998b813ae2920c3326bda1178b3afa0a4d881d3a1efc27ff890,Weak,Too short (<8 characters)
48Jg*hK9ksDTO!S,2bf155218fa8939646080e269d060c01a2a6b59dab303ac92e5722014c972aa7,Very Strong,Good balance of characters
G9MK!D$l,5549cd377aa83fa1d36f4d1063ed4b5257f90fe9c3e9e251dd48799c88b57b79,Strong,Good balance of characters
gq!v%WAB,2420ff3eb52280d1ca81627de807fd98d5ac8ad555b85ac9f09e71563b3d5543,Medium,Include at least one number
5!PV#%fJ,7d0e4a3be40f9cd773d0cd18b4d7cc7bc792dfb7fb701f359e8f1252c6d2b54a,Strong,Good balance of characters
avb9&zbC,a02d823639e275cf22f3eb54204fa94c77ff684b97b6dad27fe5cb9fe79a023d,Strong,Good balance of characters
!8r$7VSrlatMVNS,2270596ac58be9d1b949b0aadeedc6f0b03409c8bd6bdd9946f1fc72e98f5eb1,Very Strong,Good balance of characters
1neMBIYBrIcPe,46df4afddc8cb1687f89dbc0991435513e7924896453071ef7b62c9acbadde1f,Medium,"Include at least one special character (@, #, $, etc.)"
mfLdsy,62d847fc3217c0dde863a3c88a21e7c9111c569187160433fa9eb7ccd5beb501,Weak,Too short (<8 characters)
9qBJn0,7bedcdf432bebeb4111b54ac7209ed80360b4c083e506b0d75bfc5b3f54715ab,Weak,Too short (<8 characters)
7?07CPtGP@blnm,3c6428c352e53b0b28587d23ae3dceed90244ca00815dd44d36b2f3a1d6c8140,Very Strong,Good balance of characters
E89&sgyddK,0417181644705d5a5e6ba11b6d3ed61588e58327fa01427c2d8b32425d17309e,Strong,Good balance of characters
ZwpYDax10N7j8l,783414ea1d01306807ed30f7572cab5002d728974fbce8a7022d2375e9edd9f1,Medium,"Include at least one special character (@, #, $, etc.)"
PB#Net1Tm?4$,72431106eecf137cc63a8bdb12b293b4f77f4705127be9019a6006ab7970b4ed,Very Strong,Good balance of characters
u#5R7,d4506f163cb18411491848e68c01ae200133ff567314fcdd4026a2a58d595259,Weak,Too short (<8 characters)
m4eWd,9deec2965bd09ecc81366f578ea02d4bf054573511d95e2e958a1e9919b9671c,Weak,Too short (<8 characters)
clbtR!HmnLAfy3v,c8ffcf4d3783628a1a9802b793ff9368c40f0d615cc7dc0fb79d1eed095fd18e,Very Strong,Good balance of characters
94JrW7,731c13926dc704d8317ce5178ff0c8063e2662bd3c105836bcf858d2bec88f93,Weak,Too short (<8 characters)
vPxkk,6c0666d65896a69c5b95c7f27d9cd6f9548d3060d72e8a276d6369625e213075,Weak,Too short (<8 characters)
NJX@lsbi,a452a5068a836149aa3cc8bcbc025318d7293c044b9e5fcc35a8cc676789fc50,Medium,Include at least one number
UpnQU4QLiRc,00c2dc9762d47a9d52aa0e8e0f0acfd7798ccc6ab86db7327b8bbc8c2388defe,Medium,"Include at least one special character (@, #, $, etc.)"
4WQMk4cZED&,c87c73474cd6deb03d01a105ac6030c80d921c83caffe993187b2b83959b39e3,Strong,Good balance of characters
Oc4MBrdZnyxV*Lpz,fb40635efdbcbb46bfa93f5befd576063340a2e7d578baa98ac38a788dc323c2,Very Strong,Good balance of characters
O64BKbpEjvl!4,2696c7be029e537fe44569920a8032c8b7d255566a2f7e3006ce9acb86ad3047,Very Strong,Good balance of characters
O3p@BCZ2QK,bf4fbe366397372e02c002b793d05800f672c48b798f49e51f828b7f28f47000,Strong,Good balance of characters
zkTK5dqj@U9ZM,617c5aa07806c1b8b6c6c96c49852ff4ad31d23b3d5fe0d6dbc3d136e54bfce4,Very Strong,Good balance of characters
6#Xh$,4117aece39d9f0fdc2a88349865a172ccd5ca41a95a0dbd8ac96cf61803cbfc6,Weak,Too short (<8 characters)
V9RsXUFtu,fec14f3fae4851f2cc0ff88053a420ac997f383364967078f637cbccf58331a5,Medium,"Include at least one special character (@, #, $, etc.)"
?nu!q0zwYHctg1,081e910b3a48e2310009b6337811625b9fbf1d4daa9f7a61158cb4e987ee1290,Very Strong,Good balance of characters
W0HGvNdjOmvEPw,7ed2d2fdbc76c9b10b5bbc75477d31b68e1a976c9b16a22b7b76b47105039682,Medium,"Include at least one special character (@, #, $, etc.)"
Aa8QI4I,747272480560bf960dd5250c03d9fae8dffb7b37cc2db1c166fbc018a2d8c19d,Weak,Too short (<8 characters)
L!$0y,a367da5254575f0e211c42b23d0dcdc91f21c35157418df70f9a2713dcdf2f7e,Weak,Too short (<8 characters)
r&*3G?CHR@Vo5FH,af5b4f51806446b7df025614c69af18b442a66d4adf33bfccf4f62323099cffb,Very Strong,Good balance of characters
MCqUOkbiSkh8lEP,4426765d147b3401cd28b306b6c76034ba1b4ed1f4ec350a74f5d908411ce93c,Medium,"Include at least one special character (@, #, $, etc.)"
%7VIF1ywEcDTjd4l,8609052e767b61567cb7d795f2210ba46f35e938732fb48a4a4fa3911306cfd5,Very Strong,Good balance of characters
%Towa,ebe55abc850f05037df13f7f4bd9783ef4c4425536e4688151812a838bea35ac,Weak,Too short (<8 characters)
nvAeIC1pEZv,ff984541bf1cef79a8fda4cbd5884e76abc2f2a920e9cc6a9dc2dafb59b8861f,Medium,"Include at least one special character (@, #, $, etc.)"
9Acu9wR,a801da56b46111483eb8b33f6051fa1cefa2204b68dcd7d58d18f616cf65c11c,Weak,Too short (<8 characters)
gHpz&R&a,1bcbe81eedba20c815b08bbae26ed8c3c39f6f710b97f676dd147d230c176413,Medium,Include at least one number
%CtbeZ,a6f949e09b5a1a0a55719f648998804fef633b56affa50f3228b111429a350a8,Weak,Too short (<8 characters)
MryRTj9lc%9ag0?F,e4541fd0cbec309b45bc1fbe08238a40c263338009646b073eabc16af0440c56,Very Strong,Good balance of characters
HiLC6z0Xe2U$5,d44c00a7710dcea0c5663f42e1057efaac2d65d67f8c362c07da140bc2b4bb51,Very Strong,Good balance of characters
cdQQDNE0s8X&$u6o,23740e87ed00b714d22a84168b21775bbb913ee27c95b824938c15f496310b45,Very Strong,Good balance of characters
J#RkQ,bcf37c9cc4f613b8ec7ddac98defe43f1ee804c7ec0cf8b85edd5d2a98ac64b1,Weak,Too short (<8 characters)
bsvhnAI8,c49cb337a796059b5bb830a959ce344c7a7b78f800a5288da40bc1079f8cc544,Medium,"Include at least one special character (@, #, $, etc.)"
#c#5wiSroBeZt3,5ca48e59c1ae2bf6133d32d167d98a90a633f98de0c399de7575bfddec81b364,Very Strong,Good balance of characters
iC8jwZ*RR&DKQEeS,a2a3dc21a670bd259381a0067d58d712b8d5750380734e1371ecd03810963cd3,Very Strong,Good balance of characters
3MdL?a00F,46d92bddd41a63645a79736b5d4e75d0f967ba402051d0175d9bbd74853d0db0,Strong,Good balance of characters
qF%7!RTtbm0SrgjH,e5d16f2d4f71911f58fede37121e60dfbfb9ae578534e0311ade45fb4a485636,Very Strong,Good balance of characters
yjg1!,ebabeb71d35fd84b31ff654d9679c25e46f725300cc4937cae380b348856e64a,Weak,Too short (<8 characters)
5BeC082,4f262db4a641ae400a26c24b014ede6de936a3e94813c53f778c91d92b2fe9e8,Weak,Too short (<8 characters)
yJj6IprDp%G17,e1b6d022bf0dd3ddaa3774f52a56d3c1c2afcbf25e778c91f12b4e7fe658bc5b,Very Strong,Good balance of characters
M6Adfe3@w#0&z3,428c31205f226f3db3e380b4785111ed71089943160ed476f78d3a165834fb93,Very Strong,Good balance of characters
OoYUn4IZMj0,eda486fff5815c8f385432d16d84d592d4b88b7d32825225701a11dae0b3b73f,Medium,"Include at least one special character (@, #, $, etc.)"
S3uK*u&$&Bh,c8e3572c54925b511d0f730a20d0082ee5c291bd88c76b0126d2930c6884c6e1,Strong,Good balance of characters
SkG9vRQV0,50249178b0df032cd62a899d2b62d4685ae8b7064a4fb03e77c726f22a1c50d9,Medium,"Include at least one special character (@, #, $, etc.)"
tfdEKPYz#C61G,2ad1336549d0e907309b5635ce90320df4ef5041ca2ef6ca837efe00337001b3,Very Strong,Good balance of characters
$YJqk?,ec8f20e1fb749dd2e72ef92e28690486a236b053646c11b0b9f7dc5f733c90c1,Weak,Too short (<8 characters)
kB4wQHG!G6C,c34fc11261a88087e5eca4714cc510a28a2e0ff156fec75301f4da5e439ee501,Strong,Good balance of characters
AM8ckKfK,3f2e44b9422acf0c38702eaefd48620f511d9adb5a78b3b796c2ba9cd0f5e62a,Medium,"Include at least one special character (@, #, $, etc.)"
s$3PghvntGY,e834dfbe1f28c9d99e3ed9156f3407f9ea25ca3ad3dd739fa43e549848e6ef1a,Strong,Good balance of characters
a2#l!wdB71y3$8&,81ee1b9e7f9ce8183f19a16212595a98a0fca47f1ec16e411625d9b091c2e6f5,Very Strong,Good balance of characters
KvMAl%qZ,1df271efb71b394cb92939df091bd3db9b83d2e7e5a08172a01dcc2185935b9a,Medium,Include at least one number
Dlgdy,9b66b174f9e3a1e245ae2598b075f89b9bd61201f261777464caabdb8a1d17c5,Weak,Too short (<8 characters)
oUTeh,d64be8a927214273117932e34dbdca20570f7abc4faecda9b7aad73b884573ef,Weak,Too short (<8 characters)
Q@u@?%av@G9W,60255c2be54f55208d0c6506a2468b48eb49540e8370137c84c4d62506c71f6d,Very Strong,Good balance of characters
6&W#%!,8e65391555f108529534f1e211352246afcde211fa237c14acca8da36e48ace0,Weak,Too short (<8 characters)
vd&zc,1ad8098fda4cba39c45de9b8d87967faafec82774dc15f6860d94f2031e62b3f,Weak,Too short (<8 characters)
XM53s9gZ,f3149caae6a9420a17148b2f3aeb3fecade12f09b56277d2ba1a24d7f8673372,Medium,"Include at least one special character (@, #, $, etc.)"
5nH@M9P2UpWwW,8ebdc438a31034c124545a3858bc271ebdd082ad06c3ebb0b5f2373f05e868cb,Very Strong,Good balance of characters
HfAe$75BPNrAGtvg,b6034fe05545089cb54a7a4f0cee51adcf78c00e8c9b2c47971289e992fa2ad5,Very Strong,Good balance of characters
C1h5m1&w6,37e66f558a93df66012df1d3a2788b7b94aa3d9d581cf4f77915d04aaa638e91,Strong,Good balance of characters
SxO7T#7$j0!9%7,7a1332cff44fdeb87650113c6dc2656ba445c4e42869d03befd3bd905c9a3510,Very Strong,Good balance of characters
Z*0O3i7yFX#R,6f98966f060a49e554e68c3635e508808ffb05403dbdfc6ee1746e5754cb4a3d,Very Strong,Good balance of characters
zqHuD,d05004628276dacbaebe3908993937afba743c4b7dbe13b10870cb534579392a,Weak,Too short (<8 characters)
5sI$E3Ylte8DAE,76c045c44ac8ba6948fde9990a4667d2f13504e230a86f9a647832955aa31795,Very Strong,Good balance of characters
F#c&7h4HVDsY,07926535c4a7d8368fe89451452418768a56dda1b71da2310e7d32e8552301b2,Very Strong,Good balance of characters
xwid?FM9,29b196ab4bc6555b5265da22d956df4d169d8bfb3c7913d44d30ebcbf2476e36,Strong,Good balance of characters
R0U8ktLlWz,cf4152eac5cf4e2c7e0cd6be4f9c096beee63feba5dc680b5bbc81ac68975137,Medium,"Include at least one special character (@, #, $, etc.)"
5a$RP?#,5b80c029a29b80c369af03b26c41579bd4fd1c60da6a30b9250a3ecde32108a2,Weak,Too short (<8 characters)
dJI@ak,baa8597aa9f003b8eace341679b485b5c3ac1f6f734715e8c89fc4de3351deca,Weak,Too short (<8 characters)
Sz0wM4sX9w0w9,5216297431e88c107a1e78d4fb41f2205947b1253946ae0d7aed52aebd813421,Medium,"Include at least one special character (@, #, $, etc.)"
0cqwh9vQ,c5aff7683e9ba8e7b8cb861c318c045c7a31a3a34e59f3c3f529c339743b3a5e,Medium,"Include at least one special character (@, #, $, etc.)"
9rwIfom2,618c7c358a81baa882207dd982439edcbc23a96156a27ccd454f0dac7ee686ac,Medium,"Include at least one special character (@, #, $, etc.)"
NbGfuDwTv,07e0530f23c7ed1357c22949f6426100eb6742b1c7b71ea9bd480588b9dda189,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
OjMMfv,f95e076e6dd9118a3866a2c3c2c5855231dab8206dcc2d7200790cf3117da433,Weak,Too short (<8 characters)
LmtwM,ead46c70e46538bfb825ffbeb53573b7f31aa5354876fd7caf0851f579e2c5ab,Weak,Too short (<8 characters)
5d?lD,2c8daaabd27cc2e827a2b232e01c910597297c8109ad4253dd7cf3a5c21a9f66,Weak,Too short (<8 characters)
cEFngC,c8fa84f77f84b573ec47f47fb447f7f000d04d41d0bf3415e146a70e55bcb19c,Weak,Too short (<8 characters)
cgIzCZuP%ERv,77461891e5db7fabb495d85a1b474ef7e6d32832a8e320769d1ea44f300616a0,Medium,Include at least one number
qoAjOIBNS,59a972221eee9fb3cd054360f56fa65bbee25c93879168393a0afae5e6e50e90,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
8O&LWz?b$vrI8nRz,3226418baa0467003b5a949a679c63df57c506f653781ef8e05e049a48e80c91,Very Strong,Good balance of characters
$8?9Xhrk7Hzf5x,645e96bb76c2eab73dba9fe97bf20e991667ad5938b4a1606063b3701f06e00e,Very Strong,Good balance of characters
?0!*53ji0,16e119e1af3de1c49ff23b9cc9719bce659b6830afdc0f03599635bfa7edea3f,Medium,Add at least one uppercase letter
WT9n37H0a&fmE,82613b1c7485b3f862482155b04131975a798ec9c38e3aed5615540f43ac5ef6,Very Strong,Good balance of characters
O7qlTAkzbE,d26efb1683ba8f5e1fddf0aabd62f3a5133b99398d43a22b347f64e21e085099,Medium,"Include at least one special character (@, #, $, etc.)"
5MpB#,adf4c3cb0fe5739071e4820a1d58bd3c7b3d27480d2c447c0f3c4aab5c29aabd,Weak,Too short (<8 characters)
o$#sCq9WRu%,7429055c147339c2a58fd3689fa754301fddff0d3938527c161b195a80e774da,Strong,Good balance of characters
VTMtU,242077c38b801bb0c73c7e8686b46e19362b09266b3ac5ab6094b1a93529bf2a,Weak,Too short (<8 characters)
LfrKGK@,ea5015f1c5cd2eb55d387e4dac6554b2efcd3c7a11dff3c51b61029755a7fb9e,Weak,Too short (<8 characters)
WH1XS3fxGpx@?L,a066a9624877af166e3c3cd315b15c229d5d39b9a0711ca12fc768a193fee85b,Very Strong,Good balance of characters
3*mjzb*e%mrC@IH,dd0cc203da5de04ce0e460acf9d5ca683eadb8239484aebfea3260d40e60c989,Very Strong,Good balance of characters
gNhUWvmv&y,c26e00d1511c2b1f9a61c672b2a4b250e50aea0ab5b9d2c4a2789dd8409fb81d,Medium,Include at least one number
Q09mT7UlQ6PdKk*,580233d64f3f61dc70b859f439993a9a0d8ed130e7f797d3a45b36ccdb807f99,Very Strong,Good balance of characters
6v2LB9YrUhKg#yWS,9fcc72517b632d362344d27c0d70d63c56ff1fcb6083d45afc5d70fb124f11e3,Very Strong,Good balance of characters
wqxYhCeRpU,c24b988fb6e0ddcf353583af62dc5c24411d3e2258de98860d5b90f82615f403,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
631bcpkKCjX,ea6d1798f9a35069b82d0900af6960a83d6e734524c9b15a51c12a49b2ffbe66,Medium,"Include at least one special character (@, #, $, etc.)"
34fuk,03fb7987ad33fe17764d3cbbf137eb400a102fbec03f94a1147ce0167331a18c,Weak,Too short (<8 characters)
8Z6hTOwsDtZeR,2c66af4527edd8375e398031b0399d88b049d92626c7691ce9e198175ddef952,Medium,"Include at least one special character (@, #, $, etc.)"
N&RECYylgwPRC&4,c5e2779457ca187fafea1a53bdbf2b8e3a9bc83a20dc4e62ee31f3f773ceba39,Very Strong,Good balance of characters
isBOq!73m1Z,6bc7b5edbd550143a69885a17256370420396328ac7c3d682a195b9838dd1dc0,Strong,Good balance of characters
HjLW2ka,483ec454a664b909928f1c36f740e348d89a987677eb1d150f578b830c6df393,Weak,Too short (<8 characters)
K1szOUL3h@xc,5e6610e399c5e4a1426f2c4993f6d73ca46e453d09a6a6ecd010d85df60980f2,Very Strong,Good balance of characters
kd7%M1MOEm,4a40ea49bdc2ed4f43da09a36fe1f7b5ab8b8352d445e455ad2d465188443b0e,Strong,Good balance of characters
JaJJMQvl,3dbc7281c5b5f53cd3c48fc4a661dfb998f08789415d074d978df9050dedd859,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
qn4C1JUp&F,11eecb11133d43275c9e74827207f15d64a4556cafc50c433c619abe4bf86843,Strong,Good balance of characters
j7lwGOAgyYB&,d7264d86698f74202c97a8e17906f82c65fff5f6ba4c23a738955a27101b9eb6,Very Strong,Good balance of characters
KByRbxooGPh5,46f4c209c334d10377d81ab436292cd445679af27f9114d2855a0e66bd68ad3b,Medium,"Include at least one special character (@, #, $, etc.)"
Nokqn@Z54uorZr,bf415adc3c48e1fe95222fd05327111e6e504a65b6d7eea185d5718ae0ad20c4,Very Strong,Good balance of characters
#vP$hTgPS,fa474a5d3c62d980e39e258789d89856077cd7491fcb87198fe2de79065f2537,Medium,Include at least one number
g2O084&,46ff3ab55a88fc39de0866e009ecb208873b1bf7a5ea272cb5dd5a008fe5727d,Weak,Too short (<8 characters)
zinSqiTjpb,1a61ad81b13b0f115fc542ad30aa311287bbda6edc5ff4cbf574612d56414e35,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
ZEZWQ,c449e3e9fdcf72ad95cd521f43e2be09af720d4025d290cfe21320f55e9d24ee,Weak,Too short (<8 characters)
@4V#l5Zi$Ly!l,cdd1087eb0ab998b9470b29ede0ef7e023bc58b2eb02656981cf70b7db2a6bc2,Very Strong,Good balance of characters
qGHXbp1mEGp93Bv,b1ef4188a1decbef9ab8bbc7f8ab6f2b9e4652059b5c5a8b3136f0433c250b32,Medium,"Include at least one special character (@, #, $, etc.)"
*MF7abHLh2RBB4h,915c51ba8f5c27684d716f38bf5546d4c24d2e5915edec33082ea4228f1ba464,Very Strong,Good balance of characters
D#dffbfP1MgXa8,800d6956d57de61e0436871ccf98139ecf91bbdcb71d65127d5acbca8129beeb,Very Strong,Good balance of characters
!VsNe0sBep!KkwQP,5e82a051141a1c77bcd3478c285f856a5682dc238337b32627fdb552dcc74957,Very Strong,Good balance of characters
dHHR?GjnM,b2ffc057f7308dcf49642b04442018d10c452163d87084b8bcbc6d27dfb4672d,Medium,Include at least one number
jXGuri9OzM,31f5cf068267786d4cea7f25bf7df87acd653f25e7b08f042187c5018ca43284,Medium,"Include at least one special character (@, #, $, etc.)"
zj&BO?ldAIVZ,bf49522b4014ede6a3b12683eb0d29c6caabf4c84de4739ab65793b084006937,Medium,Include at least one number
